category,claim_id,description,value,units,source_file,source_locator,commit_sha,verification_method,notes
t_crit,t_crit_par_v3_cv03,"Parenteral t_crit at η=0.05, V₀=1000, CV=0.3",34.5,hours,SRC/multiscale_model/results_v3/heterogeneity_summary.csv,"row: route=parenteral,V0=1000,cv=0.3",37e27ea,fresh run reproduces committed CSV byte-identical except elapsed column,Carries from v2 (multiscale baseline)
t_crit,t_crit_muc_v3_cv03,"Mucosal t_crit at η=0.05, V₀=1, CV=0.3",60.5,hours,SRC/multiscale_model/results_v3/heterogeneity_summary.csv,"row: route=mucosal,V0=1,cv=0.3",37e27ea,fresh run reproduces committed CSV byte-identical except elapsed column,Carries from v2 (multiscale baseline)
t_crit,t_crit_par_v3_cv0,"Parenteral t_crit at η=0.05, V₀=1000, CV=0.0 (homogeneous)",32.5,hours,SRC/multiscale_model/results_v3/heterogeneity_summary.csv,"row: route=parenteral,V0=1000,cv=0.0",37e27ea,fresh run reproduces,Sensitivity check: removing heterogeneity gives ~32.5h
t_crit,t_crit_muc_v3_cv0,"Mucosal t_crit at η=0.05, V₀=1, CV=0.0 (homogeneous)",57.5,hours,SRC/multiscale_model/results_v3/heterogeneity_summary.csv,"row: route=mucosal,V0=1,cv=0.0",37e27ea,fresh run reproduces,
ratio,compression_ratio_v3_cv03,Mucosal/Parenteral compression ratio at CV=0.3,1.75,dimensionless,derived from heterogeneity_summary.csv,60.5 / 34.5 = 1.7536,37e27ea,computed from verified t_crit values,NHP empirical range 1.5-2× (Tsai 1998 / Otten 2000) — concordant
extinction,p_extinct_muc_v3_cv03,"Mucosal extinction probability at V₀=1, CV=0.3",68.4,percent,SRC/multiscale_model/results_v3/heterogeneity_summary.csv,"row: mucosal,V0=1,cv=0.3,p_extinct",37e27ea,fresh run reproduces,Founder population frequently fails to establish at V₀=1
extinction,p_extinct_par_v3_cv03,"Parenteral extinction probability at V₀=1000, CV=0.3",0.0,percent,SRC/multiscale_model/results_v3/heterogeneity_summary.csv,"row: parenteral,V0=1000,cv=0.3,p_extinct",37e27ea,fresh run reproduces,High inoculum essentially always establishes
F_access,F_access_at_t_crit_par,"F_access(34.5h) under lognormal(median=96h, GSD=2.0)",0.0699,probability,computed,"scipy.stats.lognorm.cdf(34.5, s=ln(2), scale=96)",analytical,Φ((ln(34.5)-ln(96))/ln(2)) = Φ(-1.476) = 0.0699,"Median value is modeling choice; Taylor 2019 is commentary, no primary timing data"
F_access,F_access_at_t_crit_par_alt,"F_access(34.5h) under lognormal(median=72h, GSD=2.0) — JID-consistent sensitivity at canonical t_crit",0.144,probability,computed,"scipy.stats.lognorm.cdf(34.5, s=ln(2), scale=72)",dfff300,Sensitivity: with JID-cited median 72h instead of email 96h,"Sensitivity: JID-consistent F_access median 72h. Computed at canonical t_crit=34.5h."
bound,bound_envelope_par,"F_access × t_crit envelope at η=0.05, ε_max=0.95, t_crit=34.5h, F_median=96h",11.3,percent,computed,0.0699*0.95 + 0.9301*0.05 = 0.1130,analytical,Most generous (envelope) estimate,"In γ framing: footnoted as internal consistency check, not abstract claim"
